epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,556.155,1.44339,1.19702,1.92791,0.9983,1,0.995,0.65939,1.23372,1.04464,1.49554,0.0011684,0.0011684,0.0011684
44,568.795,1.40186,1.12927,2.01544,0.98043,1,0.99384,0.65558,1.1919,1.05093,1.72699,0.0011486,0.0011486,0.0011486
45,581.555,1.35916,1.16666,1.90912,0.99704,1,0.995,0.79662,0.8207,0.9936,1.39815,0.0011288,0.0011288,0.0011288
46,594.337,1.44548,1.14435,1.8012,0.99477,1,0.995,0.81763,0.73414,0.98271,1.3261,0.001109,0.001109,0.001109
47,607.052,1.28187,1.10202,1.83041,0.98437,1,0.995,0.74579,0.89795,1.01521,1.39378,0.0010892,0.0010892,0.0010892
48,619.845,1.40697,1.17625,1.94588,0.99838,1,0.995,0.781,0.93135,0.91482,1.35756,0.0010694,0.0010694,0.0010694
49,632.571,1.16254,1.00257,1.66105,0.99831,1,0.995,0.78361,0.92857,0.89162,1.31275,0.0010496,0.0010496,0.0010496
50,645.32,1.18785,1.07268,1.758,0.99894,1,0.995,0.8156,0.78497,0.77328,1.24111,0.0010298,0.0010298,0.0010298
51,658.063,1.22825,1.06384,1.76,0.99945,1,0.995,0.80608,0.73026,0.7665,1.22347,0.00101,0.00101,0.00101
52,670.836,1.28483,1.09718,1.81276,0.99334,1,0.995,0.81956,0.78952,0.85332,1.32098,0.0009902,0.0009902,0.0009902
53,683.585,1.00054,0.92665,1.59507,0.96987,1,0.99457,0.83683,0.73663,0.87727,1.32619,0.0009704,0.0009704,0.0009704
54,696.888,1.10656,0.90968,1.62212,0.98422,0.98529,0.99457,0.81815,0.7416,0.92708,1.35596,0.0009506,0.0009506,0.0009506
55,709.835,1.10374,0.96056,1.65673,0.9855,0.99982,0.99471,0.81632,0.75327,1.01468,1.37798,0.0009308,0.0009308,0.0009308
56,722.864,1.21826,0.95673,1.6724,0.998,1,0.995,0.79538,0.85314,1.02513,1.38052,0.000911,0.000911,0.000911
57,735.731,1.00756,0.90955,1.58973,0.9989,1,0.995,0.74282,0.98647,0.8891,1.41429,0.0008912,0.0008912,0.0008912
58,748.585,0.99037,0.91406,1.55642,0.99907,1,0.995,0.85859,0.65919,0.74078,1.18301,0.0008714,0.0008714,0.0008714
59,761.497,1.057,0.91164,1.61415,0.9988,1,0.995,0.80897,0.80597,0.85581,1.22502,0.0008516,0.0008516,0.0008516
60,774.284,1.15601,0.95065,1.67899,0.99991,1,0.995,0.79555,0.86635,0.89228,1.26699,0.0008318,0.0008318,0.0008318
61,787.16,1.13079,0.94788,1.62095,0.99917,1,0.995,0.83586,0.71502,0.74612,1.18109,0.000812,0.000812,0.000812
62,799.945,1.0928,0.90335,1.59219,0.99767,1,0.995,0.84566,0.65725,0.82419,1.17048,0.0007922,0.0007922,0.0007922
63,812.956,1.10216,0.97327,1.62535,0.99958,1,0.995,0.71965,1.01731,1.03911,1.38184,0.0007724,0.0007724,0.0007724
64,825.904,0.99105,0.87646,1.57958,0.99832,1,0.995,0.84969,0.64865,0.82743,1.1943,0.0007526,0.0007526,0.0007526
65,838.71,0.99319,0.86739,1.53196,0.99838,1,0.995,0.85744,0.62485,0.75762,1.15661,0.0007328,0.0007328,0.0007328
66,851.651,0.96349,0.82455,1.45881,0.9986,1,0.995,0.8526,0.63243,0.72237,1.16984,0.000713,0.000713,0.000713
67,864.492,1.05829,0.9523,1.64889,0.99842,1,0.995,0.86686,0.60549,0.70841,1.15069,0.0006932,0.0006932,0.0006932
68,877.144,1.09907,0.9573,1.65182,0.99907,1,0.995,0.87121,0.59375,0.72534,1.13355,0.0006734,0.0006734,0.0006734
69,889.894,1.00877,0.80989,1.44821,0.99882,1,0.995,0.84716,0.66915,0.76122,1.19404,0.0006536,0.0006536,0.0006536
70,902.529,0.93706,0.79125,1.44364,0.99761,1,0.995,0.84077,0.68589,0.77106,1.1958,0.0006338,0.0006338,0.0006338
71,915.266,0.98068,0.88819,1.5252,0.9983,1,0.995,0.85372,0.6459,0.75616,1.14843,0.000614,0.000614,0.000614
72,927.954,0.9094,0.82128,1.46813,0.99868,1,0.995,0.85108,0.66834,0.74327,1.13403,0.0005942,0.0005942,0.0005942
73,940.685,0.95984,0.82699,1.46391,0.99888,1,0.995,0.85297,0.6437,0.78744,1.16171,0.0005744,0.0005744,0.0005744
74,953.518,0.91326,0.83858,1.45271,0.99882,1,0.995,0.87148,0.61215,0.75274,1.15032,0.0005546,0.0005546,0.0005546
75,966.212,1.01637,0.84794,1.55109,0.99878,1,0.995,0.85071,0.77563,0.74525,1.19329,0.0005348,0.0005348,0.0005348
76,979.045,0.93256,0.76751,1.44544,0.99898,1,0.995,0.85629,0.70144,0.66164,1.13847,0.000515,0.000515,0.000515
77,991.911,0.90225,0.83137,1.4432,0.99903,1,0.995,0.87929,0.56495,0.64472,1.08186,0.0004952,0.0004952,0.0004952
78,1004.72,0.87888,0.86942,1.47648,0.99903,1,0.995,0.86546,0.55265,0.6359,1.08949,0.0004754,0.0004754,0.0004754
79,1017.51,0.94337,0.75489,1.46099,0.99899,1,0.995,0.86014,0.56387,0.65552,1.0947,0.0004556,0.0004556,0.0004556
80,1030.32,1.10268,1.06769,1.47891,0.99868,1,0.995,0.87201,0.55379,0.69854,1.06633,0.0004358,0.0004358,0.0004358
81,1043.06,0.96765,0.78556,1.40569,0.99871,1,0.995,0.87525,0.55386,0.72315,1.05971,0.000416,0.000416,0.000416
82,1055.83,0.88718,0.78895,1.40006,0.99898,1,0.995,0.88997,0.54039,0.68248,1.03966,0.0003962,0.0003962,0.0003962
83,1068.52,0.84537,0.83163,1.39899,0.99889,1,0.995,0.89232,0.51274,0.62412,1.02182,0.0003764,0.0003764,0.0003764
84,1081.23,0.86703,0.75878,1.40195,0.99895,1,0.995,0.85497,0.60055,0.59548,1.04866,0.0003566,0.0003566,0.0003566
85,1094.29,0.99053,0.85857,1.48042,0.9989,1,0.995,0.86051,0.58113,0.57694,1.04238,0.0003368,0.0003368,0.0003368
86,1107.07,0.93091,0.77197,1.38974,0.9989,1,0.995,0.87504,0.52652,0.56061,1.02628,0.000317,0.000317,0.000317
87,1119.65,0.84707,0.77416,1.37837,0.99892,1,0.995,0.89292,0.49315,0.55354,1.02409,0.0002972,0.0002972,0.0002972
88,1132.46,0.88444,0.76071,1.40725,0.99862,1,0.995,0.85903,0.58052,0.59257,1.08511,0.0002774,0.0002774,0.0002774
89,1145.14,0.87299,0.76521,1.42113,0.9985,1,0.995,0.85653,0.54849,0.5918,1.07125,0.0002576,0.0002576,0.0002576
