epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7567,2.87299,4.60627,4.58261,0.00144,0.29412,0.0018,0.00051,1.86506,4.34856,4.15742,8e-05,8e-05,8e-05
2,28.0831,3.09887,4.4347,4.43137,0.0015,0.29412,0.00141,0.00041,1.86339,4.3514,4.15621,0.0001206,0.0001206,0.0001206
3,40.9268,2.90414,4.19152,4.31858,0.00158,0.30882,0.00149,0.00041,1.86142,4.35536,4.15541,9.52e-05,9.52e-05,9.52e-05
